origin,destination,distance_km,total_time_min,total_fare,traffic,congestion
Rajiv Chowk,Central Secretariat,8.7,20.0,12.7,0.03,0.11
Central Secretariat,Rajiv Chowk,8.7,20.0,12.7,0.03,0.11
Rajiv Chowk,Hauz Khas,11.6,18.2,15.6,0.21,0.95
Hauz Khas,Rajiv Chowk,11.6,18.2,15.6,0.21,0.95
Rajiv Chowk,Saket,22.2,36.3,43.3,0.79,0.81
Saket,Rajiv Chowk,22.2,36.3,43.3,0.79,0.81
Rajiv Chowk,Qutub Minar,23.2,45.6,53.4,0.34,0.65
Qutub Minar,Rajiv Chowk,23.2,45.6,53.4,0.34,0.65
Rajiv Chowk,Chhatarpur,18.5,29.3,22.6,0.2,0.5
Chhatarpur,Rajiv Chowk,18.5,29.3,22.6,0.2,0.5
Rajiv Chowk,AIIMS,24.3,51.7,58.4,0.56,0.14
AIIMS,Rajiv Chowk,24.3,51.7,58.4,0.56,0.14
Rajiv Chowk,Dhaula Kuan,11.2,26.9,17.6,0.62,0.97
Dhaula Kuan,Rajiv Chowk,11.2,26.9,17.6,0.62,0.97
Rajiv Chowk,Dwarka Sec 21,20.7,39.0,49.4,0.73,0.75
Dwarka Sec 21,Rajiv Chowk,20.7,39.0,49.4,0.73,0.75
Rajiv Chowk,Noida City Centre,19.4,31.9,44.4,0.64,0.89
Noida City Centre,Rajiv Chowk,19.4,31.9,44.4,0.64,0.89
Rajiv Chowk,Botanical Garden,2.2,4.3,3.1,0.31,0.14
Botanical Garden,Rajiv Chowk,2.2,4.3,3.1,0.31,0.14
Rajiv Chowk,Vaishali,3.6,8.7,8.8,0.4,0.45
Vaishali,Rajiv Chowk,3.6,8.7,8.8,0.4,0.45
Rajiv Chowk,Anand Vihar,3.7,8.0,5.0,0.09,0.6
Anand Vihar,Rajiv Chowk,3.7,8.0,5.0,0.09,0.6
Rajiv Chowk,Laxmi Nagar,22.2,52.6,55.2,0.87,0.97
Laxmi Nagar,Rajiv Chowk,22.2,52.6,55.2,0.87,0.97
Rajiv Chowk,Mayur Vihar,17.3,39.0,39.6,0.22,0.56
Mayur Vihar,Rajiv Chowk,17.3,39.0,39.6,0.22,0.56
Rajiv Chowk,Yamuna Bank,11.9,24.5,26.3,0.33,1.0
Yamuna Bank,Rajiv Chowk,11.9,24.5,26.3,0.33,1.0
Rajiv Chowk,New Ashok Nagar,7.9,17.8,13.6,0.76,0.01
New Ashok Nagar,Rajiv Chowk,7.9,17.8,13.6,0.76,0.01
Rajiv Chowk,Mandi House,8.5,18.2,12.2,0.93,0.56
Mandi House,Rajiv Chowk,8.5,18.2,12.2,0.93,0.56
Rajiv Chowk,Pragati Maidan,9.0,17.2,19.0,0.88,0.42
Pragati Maidan,Rajiv Chowk,9.0,17.2,19.0,0.88,0.42
Rajiv Chowk,Inderlok,5.0,10.6,11.1,0.55,0.79
Inderlok,Rajiv Chowk,5.0,10.6,11.1,0.55,0.79
Rajiv Chowk,Netaji Subhash Place,2.9,5.8,5.2,0.27,0.49
Netaji Subhash Place,Rajiv Chowk,2.9,5.8,5.2,0.27,0.49
Rajiv Chowk,Punjabi Bagh West,21.5,49.0,46.5,0.56,0.12
Punjabi Bagh West,Rajiv Chowk,21.5,49.0,46.5,0.56,0.12
Central Secretariat,Hauz Khas,4.4,6.9,7.5,0.44,0.86
Hauz Khas,Central Secretariat,4.4,6.9,7.5,0.44,0.86
Central Secretariat,Saket,15.2,28.0,18.4,0.01,0.02
Saket,Central Secretariat,15.2,28.0,18.4,0.01,0.02
Central Secretariat,Qutub Minar,18.0,43.6,26.2,0.62,0.2
Qutub Minar,Central Secretariat,18.0,43.6,26.2,0.62,0.2
Central Secretariat,Chhatarpur,23.8,50.3,45.4,0.19,0.57
Chhatarpur,Central Secretariat,23.8,50.3,45.4,0.19,0.57
Central Secretariat,AIIMS,24.8,58.4,58.5,0.43,0.86
AIIMS,Central Secretariat,24.8,58.4,58.5,0.43,0.86
Central Secretariat,Dhaula Kuan,9.0,21.8,22.1,0.01,0.15
Dhaula Kuan,Central Secretariat,9.0,21.8,22.1,0.01,0.15
Central Secretariat,Dwarka Sec 21,10.0,15.3,13.2,0.84,0.52
Dwarka Sec 21,Central Secretariat,10.0,15.3,13.2,0.84,0.52
Central Secretariat,Noida City Centre,8.9,20.7,11.0,0.6,0.82
Noida City Centre,Central Secretariat,8.9,20.7,11.0,0.6,0.82
Central Secretariat,Botanical Garden,22.7,36.7,56.1,0.13,0.57
Botanical Garden,Central Secretariat,22.7,36.7,56.1,0.13,0.57
Central Secretariat,Vaishali,23.5,53.2,46.8,0.73,0.39
Vaishali,Central Secretariat,23.5,53.2,46.8,0.73,0.39
Central Secretariat,Anand Vihar,24.4,43.5,45.8,0.64,0.42
Anand Vihar,Central Secretariat,24.4,43.5,45.8,0.64,0.42
Central Secretariat,Laxmi Nagar,14.3,29.6,33.7,0.41,0.88
Laxmi Nagar,Central Secretariat,14.3,29.6,33.7,0.41,0.88
Central Secretariat,Mayur Vihar,17.7,40.5,41.7,0.48,0.76
Mayur Vihar,Central Secretariat,17.7,40.5,41.7,0.48,0.76
Central Secretariat,Yamuna Bank,16.3,31.1,30.0,0.19,0.83
Yamuna Bank,Central Secretariat,16.3,31.1,30.0,0.19,0.83
Central Secretariat,New Ashok Nagar,18.2,41.8,27.7,0.11,0.44
New Ashok Nagar,Central Secretariat,18.2,41.8,27.7,0.11,0.44
Central Secretariat,Mandi House,22.4,47.2,34.5,0.34,0.28
Mandi House,Central Secretariat,22.4,47.2,34.5,0.34,0.28
Central Secretariat,Pragati Maidan,3.6,6.5,8.3,0.07,0.34
Pragati Maidan,Central Secretariat,3.6,6.5,8.3,0.07,0.34
Central Secretariat,Inderlok,4.0,6.8,5.7,0.75,0.02
Inderlok,Central Secretariat,4.0,6.8,5.7,0.75,0.02
Central Secretariat,Netaji Subhash Place,23.1,42.7,32.2,0.37,0.59
Netaji Subhash Place,Central Secretariat,23.1,42.7,32.2,0.37,0.59
Central Secretariat,Punjabi Bagh West,5.9,9.9,8.8,0.18,0.53
Punjabi Bagh West,Central Secretariat,5.9,9.9,8.8,0.18,0.53
Hauz Khas,Saket,12.8,23.8,25.0,0.39,0.49
Saket,Hauz Khas,12.8,23.8,25.0,0.39,0.49
Hauz Khas,Qutub Minar,10.8,20.9,19.3,0.51,0.54
Qutub Minar,Hauz Khas,10.8,20.9,19.3,0.51,0.54
Hauz Khas,Chhatarpur,3.4,5.6,6.5,0.01,0.14
Chhatarpur,Hauz Khas,3.4,5.6,6.5,0.01,0.14
Hauz Khas,AIIMS,20.2,38.4,44.9,0.05,0.45
AIIMS,Hauz Khas,20.2,38.4,44.9,0.05,0.45
Hauz Khas,Dhaula Kuan,6.5,15.0,12.7,0.45,0.56
Dhaula Kuan,Hauz Khas,6.5,15.0,12.7,0.45,0.56
Hauz Khas,Dwarka Sec 21,21.7,36.8,53.9,0.16,0.24
Dwarka Sec 21,Hauz Khas,21.7,36.8,53.9,0.16,0.24
Hauz Khas,Noida City Centre,0.6,1.2,1.3,0.75,0.27
Noida City Centre,Hauz Khas,0.6,1.2,1.3,0.75,0.27
Hauz Khas,Botanical Garden,7.3,12.9,16.6,0.14,0.52
Botanical Garden,Hauz Khas,7.3,12.9,16.6,0.14,0.52
Hauz Khas,Vaishali,1.0,2.2,2.0,0.47,0.2
Vaishali,Hauz Khas,1.0,2.2,2.0,0.47,0.2
Hauz Khas,Anand Vihar,18.1,33.5,33.8,0.49,0.06
Anand Vihar,Hauz Khas,18.1,33.5,33.8,0.49,0.06
Hauz Khas,Laxmi Nagar,21.1,49.8,25.6,0.07,0.87
Laxmi Nagar,Hauz Khas,21.1,49.8,25.6,0.07,0.87
Hauz Khas,Mayur Vihar,23.9,44.9,31.2,0.27,0.97
Mayur Vihar,Hauz Khas,23.9,44.9,31.2,0.27,0.97
Hauz Khas,Yamuna Bank,14.6,34.2,26.9,0.11,0.15
Yamuna Bank,Hauz Khas,14.6,34.2,26.9,0.11,0.15
Hauz Khas,New Ashok Nagar,3.9,7.4,5.6,0.03,0.52
New Ashok Nagar,Hauz Khas,3.9,7.4,5.6,0.03,0.52
Hauz Khas,Mandi House,19.3,32.9,32.9,0.6,0.19
Mandi House,Hauz Khas,19.3,32.9,32.9,0.6,0.19
Hauz Khas,Pragati Maidan,10.8,21.1,24.9,0.79,0.39
Pragati Maidan,Hauz Khas,10.8,21.1,24.9,0.79,0.39
Hauz Khas,Inderlok,14.8,35.3,34.0,0.05,0.28
Inderlok,Hauz Khas,14.8,35.3,34.0,0.05,0.28
Hauz Khas,Netaji Subhash Place,8.7,17.2,16.9,0.83,0.67
Netaji Subhash Place,Hauz Khas,8.7,17.2,16.9,0.83,0.67
Hauz Khas,Punjabi Bagh West,15.5,28.5,34.8,0.84,0.27
Punjabi Bagh West,Hauz Khas,15.5,28.5,34.8,0.84,0.27
Saket,Qutub Minar,17.3,26.3,42.9,0.58,0.45
Qutub Minar,Saket,17.3,26.3,42.9,0.58,0.45
Saket,Chhatarpur,23.2,42.6,39.3,0.04,0.76
Chhatarpur,Saket,23.2,42.6,39.3,0.04,0.76
Saket,AIIMS,12.4,25.2,16.2,0.07,0.54
AIIMS,Saket,12.4,25.2,16.2,0.07,0.54
Saket,Dhaula Kuan,9.0,17.7,11.3,0.1,0.05
Dhaula Kuan,Saket,9.0,17.7,11.3,0.1,0.05
Saket,Dwarka Sec 21,17.6,27.4,28.0,0.12,0.49
Dwarka Sec 21,Saket,17.6,27.4,28.0,0.12,0.49
Saket,Noida City Centre,3.9,8.0,7.0,0.56,0.89
Noida City Centre,Saket,3.9,8.0,7.0,0.56,0.89
Saket,Botanical Garden,20.9,36.7,33.4,0.23,0.11
Botanical Garden,Saket,20.9,36.7,33.4,0.23,0.11
Saket,Vaishali,12.3,28.3,20.8,0.7,0.73
Vaishali,Saket,12.3,28.3,20.8,0.7,0.73
Saket,Anand Vihar,18.0,31.3,37.5,0.27,0.89
Anand Vihar,Saket,18.0,31.3,37.5,0.27,0.89
Saket,Laxmi Nagar,16.9,28.7,22.8,0.98,0.94
Laxmi Nagar,Saket,16.9,28.7,22.8,0.98,0.94
Saket,Mayur Vihar,15.8,34.6,29.0,0.35,0.56
Mayur Vihar,Saket,15.8,34.6,29.0,0.35,0.56
Saket,Yamuna Bank,7.5,16.5,16.2,0.92,0.67
Yamuna Bank,Saket,7.5,16.5,16.2,0.92,0.67
Saket,New Ashok Nagar,0.6,1.1,1.3,0.05,0.89
New Ashok Nagar,Saket,0.6,1.1,1.3,0.05,0.89
Saket,Mandi House,1.6,2.5,3.3,0.82,0.08
Mandi House,Saket,1.6,2.5,3.3,0.82,0.08
Saket,Pragati Maidan,1.7,2.7,3.6,0.27,0.68
Pragati Maidan,Saket,1.7,2.7,3.6,0.27,0.68
Saket,Inderlok,8.1,12.9,10.4,0.24,0.49
Inderlok,Saket,8.1,12.9,10.4,0.24,0.49
Saket,Netaji Subhash Place,3.3,6.2,7.4,0.77,0.41
Netaji Subhash Place,Saket,3.3,6.2,7.4,0.77,0.41
Saket,Punjabi Bagh West,20.8,34.8,25.6,0.59,0.4
Punjabi Bagh West,Saket,20.8,34.8,25.6,0.59,0.4
Qutub Minar,Chhatarpur,1.6,2.5,3.5,0.44,0.23
Chhatarpur,Qutub Minar,1.6,2.5,3.5,0.44,0.23
Qutub Minar,AIIMS,8.0,12.5,14.3,0.68,0.03
AIIMS,Qutub Minar,8.0,12.5,14.3,0.68,0.03
Qutub Minar,Dhaula Kuan,21.0,46.0,31.5,0.16,0.13
Dhaula Kuan,Qutub Minar,21.0,46.0,31.5,0.16,0.13
Qutub Minar,Dwarka Sec 21,6.9,16.5,8.4,0.04,0.38
Dwarka Sec 21,Qutub Minar,6.9,16.5,8.4,0.04,0.38
Qutub Minar,Noida City Centre,22.1,50.2,53.1,0.89,0.81
Noida City Centre,Qutub Minar,22.1,50.2,53.1,0.89,0.81
Qutub Minar,Botanical Garden,6.3,11.3,9.8,0.19,0.56
Botanical Garden,Qutub Minar,6.3,11.3,9.8,0.19,0.56
Qutub Minar,Vaishali,8.0,12.9,16.9,0.28,0.54
Vaishali,Qutub Minar,8.0,12.9,16.9,0.28,0.54
Qutub Minar,Anand Vihar,9.0,13.8,18.8,0.35,0.58
Anand Vihar,Qutub Minar,9.0,13.8,18.8,0.35,0.58
Qutub Minar,Laxmi Nagar,24.9,44.5,33.8,0.52,0.9
Laxmi Nagar,Qutub Minar,24.9,44.5,33.8,0.52,0.9
Qutub Minar,Mayur Vihar,23.4,53.2,45.2,0.15,0.2
Mayur Vihar,Qutub Minar,23.4,53.2,45.2,0.15,0.2
Qutub Minar,Yamuna Bank,20.6,38.0,43.9,0.9,0.19
Yamuna Bank,Qutub Minar,20.6,38.0,43.9,0.9,0.19
Qutub Minar,New Ashok Nagar,15.7,24.1,28.3,0.66,0.17
New Ashok Nagar,Qutub Minar,15.7,24.1,28.3,0.66,0.17
Qutub Minar,Mandi House,23.0,48.8,44.1,0.31,0.91
Mandi House,Qutub Minar,23.0,48.8,44.1,0.31,0.91
Qutub Minar,Pragati Maidan,7.6,12.6,15.4,0.74,0.74
Pragati Maidan,Qutub Minar,7.6,12.6,15.4,0.74,0.74
Qutub Minar,Inderlok,5.4,10.8,11.1,0.22,0.04
Inderlok,Qutub Minar,5.4,10.8,11.1,0.22,0.04
Qutub Minar,Netaji Subhash Place,4.4,10.2,7.8,0.75,0.04
Netaji Subhash Place,Qutub Minar,4.4,10.2,7.8,0.75,0.04
Qutub Minar,Punjabi Bagh West,17.2,35.8,20.7,0.53,0.72
Punjabi Bagh West,Qutub Minar,17.2,35.8,20.7,0.53,0.72
Chhatarpur,AIIMS,2.1,5.1,5.2,0.16,0.03
AIIMS,Chhatarpur,2.1,5.1,5.2,0.16,0.03
Chhatarpur,Dhaula Kuan,3.1,6.2,7.4,0.86,0.59
Dhaula Kuan,Chhatarpur,3.1,6.2,7.4,0.86,0.59
Chhatarpur,Dwarka Sec 21,15.2,33.1,30.4,0.48,0.61
Dwarka Sec 21,Chhatarpur,15.2,33.1,30.4,0.48,0.61
Chhatarpur,Noida City Centre,14.3,33.9,32.4,0.62,0.75
Noida City Centre,Chhatarpur,14.3,33.9,32.4,0.62,0.75
Chhatarpur,Botanical Garden,21.6,35.5,31.4,0.68,0.62
Botanical Garden,Chhatarpur,21.6,35.5,31.4,0.68,0.62
Chhatarpur,Vaishali,15.2,24.1,36.1,0.69,0.3
Vaishali,Chhatarpur,15.2,24.1,36.1,0.69,0.3
Chhatarpur,Anand Vihar,7.6,15.7,12.4,0.94,0.5
Anand Vihar,Chhatarpur,7.6,15.7,12.4,0.94,0.5
Chhatarpur,Laxmi Nagar,12.6,27.5,28.3,0.02,0.05
Laxmi Nagar,Chhatarpur,12.6,27.5,28.3,0.02,0.05
Chhatarpur,Mayur Vihar,8.8,14.1,16.6,0.79,0.27
Mayur Vihar,Chhatarpur,8.8,14.1,16.6,0.79,0.27
Chhatarpur,Yamuna Bank,1.8,4.3,3.0,0.23,0.44
Yamuna Bank,Chhatarpur,1.8,4.3,3.0,0.23,0.44
Chhatarpur,New Ashok Nagar,19.6,32.9,44.5,0.81,0.06
New Ashok Nagar,Chhatarpur,19.6,32.9,44.5,0.81,0.06
Chhatarpur,Mandi House,9.8,21.1,12.8,0.41,0.43
Mandi House,Chhatarpur,9.8,21.1,12.8,0.41,0.43
Chhatarpur,Pragati Maidan,3.4,8.2,8.3,0.01,0.17
Pragati Maidan,Chhatarpur,3.4,8.2,8.3,0.01,0.17
Chhatarpur,Inderlok,22.8,39.4,45.2,0.34,0.47
Inderlok,Chhatarpur,22.8,39.4,45.2,0.34,0.47
Chhatarpur,Netaji Subhash Place,6.7,12.3,16.6,0.99,0.96
Netaji Subhash Place,Chhatarpur,6.7,12.3,16.6,0.99,0.96
Chhatarpur,Punjabi Bagh West,15.9,27.3,38.3,0.18,0.39
Punjabi Bagh West,Chhatarpur,15.9,27.3,38.3,0.18,0.39
AIIMS,Dhaula Kuan,18.2,36.8,31.6,0.24,0.74
Dhaula Kuan,AIIMS,18.2,36.8,31.6,0.24,0.74
AIIMS,Dwarka Sec 21,0.7,1.7,1.5,0.86,0.51
Dwarka Sec 21,AIIMS,0.7,1.7,1.5,0.86,0.51
AIIMS,Noida City Centre,10.8,19.2,24.4,0.88,0.62
Noida City Centre,AIIMS,10.8,19.2,24.4,0.88,0.62
AIIMS,Botanical Garden,8.8,20.5,21.1,0.32,0.38
Botanical Garden,AIIMS,8.8,20.5,21.1,0.32,0.38
AIIMS,Vaishali,7.6,12.1,12.5,0.37,0.35
Vaishali,AIIMS,7.6,12.1,12.5,0.37,0.35
AIIMS,Anand Vihar,14.2,30.5,17.3,0.23,0.23
Anand Vihar,AIIMS,14.2,30.5,17.3,0.23,0.23
AIIMS,Laxmi Nagar,13.0,32.1,21.4,0.34,0.19
Laxmi Nagar,AIIMS,13.0,32.1,21.4,0.34,0.19
AIIMS,Mayur Vihar,7.3,15.0,13.5,0.25,0.74
Mayur Vihar,AIIMS,7.3,15.0,13.5,0.25,0.74
AIIMS,Yamuna Bank,21.3,48.4,29.0,0.48,0.46
Yamuna Bank,AIIMS,21.3,48.4,29.0,0.48,0.46
AIIMS,New Ashok Nagar,24.4,39.1,32.2,0.82,0.69
New Ashok Nagar,AIIMS,24.4,39.1,32.2,0.82,0.69
AIIMS,Mandi House,8.4,13.1,11.4,0.39,0.59
Mandi House,AIIMS,8.4,13.1,11.4,0.39,0.59
AIIMS,Pragati Maidan,11.3,17.5,27.5,0.36,0.61
Pragati Maidan,AIIMS,11.3,17.5,27.5,0.36,0.61
AIIMS,Inderlok,21.5,44.0,50.3,0.47,0.91
Inderlok,AIIMS,21.5,44.0,50.3,0.47,0.91
AIIMS,Netaji Subhash Place,14.0,32.8,32.6,0.74,0.21
Netaji Subhash Place,AIIMS,14.0,32.8,32.6,0.74,0.21
AIIMS,Punjabi Bagh West,12.5,25.3,20.7,0.94,0.57
Punjabi Bagh West,AIIMS,12.5,25.3,20.7,0.94,0.57
Dhaula Kuan,Dwarka Sec 21,8.4,16.9,17.2,0.68,0.19
Dwarka Sec 21,Dhaula Kuan,8.4,16.9,17.2,0.68,0.19
Dhaula Kuan,Noida City Centre,9.6,24.0,13.8,0.15,0.83
Noida City Centre,Dhaula Kuan,9.6,24.0,13.8,0.15,0.83
Dhaula Kuan,Botanical Garden,4.6,11.0,11.5,0.82,0.95
Botanical Garden,Dhaula Kuan,4.6,11.0,11.5,0.82,0.95
Dhaula Kuan,Vaishali,3.9,9.4,7.9,0.04,0.36
Vaishali,Dhaula Kuan,3.9,9.4,7.9,0.04,0.36
Dhaula Kuan,Anand Vihar,2.5,4.5,3.7,0.75,0.87
Anand Vihar,Dhaula Kuan,2.5,4.5,3.7,0.75,0.87
Dhaula Kuan,Laxmi Nagar,9.4,19.7,12.8,0.55,0.28
Laxmi Nagar,Dhaula Kuan,9.4,19.7,12.8,0.55,0.28
Dhaula Kuan,Mayur Vihar,6.2,15.3,10.4,0.01,0.98
Mayur Vihar,Dhaula Kuan,6.2,15.3,10.4,0.01,0.98
Dhaula Kuan,Yamuna Bank,11.0,17.1,25.6,0.63,0.22
Yamuna Bank,Dhaula Kuan,11.0,17.1,25.6,0.63,0.22
Dhaula Kuan,New Ashok Nagar,4.3,8.1,9.5,0.64,0.07
New Ashok Nagar,Dhaula Kuan,4.3,8.1,9.5,0.64,0.07
Dhaula Kuan,Mandi House,12.8,23.0,21.8,0.14,0.02
Mandi House,Dhaula Kuan,12.8,23.0,21.8,0.14,0.02
Dhaula Kuan,Pragati Maidan,19.4,40.1,25.2,0.05,0.47
Pragati Maidan,Dhaula Kuan,19.4,40.1,25.2,0.05,0.47
Dhaula Kuan,Inderlok,9.7,14.9,18.3,0.99,0.62
Inderlok,Dhaula Kuan,9.7,14.9,18.3,0.99,0.62
Dhaula Kuan,Netaji Subhash Place,11.7,23.2,16.0,0.19,0.08
Netaji Subhash Place,Dhaula Kuan,11.7,23.2,16.0,0.19,0.08
Dhaula Kuan,Punjabi Bagh West,4.4,8.5,8.1,0.14,0.45
Punjabi Bagh West,Dhaula Kuan,4.4,8.5,8.1,0.14,0.45
Dwarka Sec 21,Noida City Centre,5.2,8.2,11.0,0.82,0.82
Noida City Centre,Dwarka Sec 21,5.2,8.2,11.0,0.82,0.82
Dwarka Sec 21,Botanical Garden,13.5,20.8,16.9,0.66,0.38
Botanical Garden,Dwarka Sec 21,13.5,20.8,16.9,0.66,0.38
Dwarka Sec 21,Vaishali,10.3,15.8,12.6,0.4,0.28
Vaishali,Dwarka Sec 21,10.3,15.8,12.6,0.4,0.28
Dwarka Sec 21,Anand Vihar,7.3,13.9,10.1,0.59,0.62
Anand Vihar,Dwarka Sec 21,7.3,13.9,10.1,0.59,0.62
Dwarka Sec 21,Laxmi Nagar,22.3,39.9,53.2,0.3,0.83
Laxmi Nagar,Dwarka Sec 21,22.3,39.9,53.2,0.3,0.83
Dwarka Sec 21,Mayur Vihar,4.1,7.6,9.4,0.46,0.98
Mayur Vihar,Dwarka Sec 21,4.1,7.6,9.4,0.46,0.98
Dwarka Sec 21,Yamuna Bank,0.9,1.4,1.7,0.52,0.97
Yamuna Bank,Dwarka Sec 21,0.9,1.4,1.7,0.52,0.97
Dwarka Sec 21,New Ashok Nagar,7.4,16.7,18.0,0.46,0.99
New Ashok Nagar,Dwarka Sec 21,7.4,16.7,18.0,0.46,0.99
Dwarka Sec 21,Mandi House,22.2,35.3,41.6,0.62,0.03
Mandi House,Dwarka Sec 21,22.2,35.3,41.6,0.62,0.03
Dwarka Sec 21,Pragati Maidan,2.2,3.7,2.8,0.39,0.32
Pragati Maidan,Dwarka Sec 21,2.2,3.7,2.8,0.39,0.32
Dwarka Sec 21,Inderlok,19.5,41.1,30.7,0.86,0.09
Inderlok,Dwarka Sec 21,19.5,41.1,30.7,0.86,0.09
Dwarka Sec 21,Netaji Subhash Place,10.9,20.2,23.2,0.22,0.99
Netaji Subhash Place,Dwarka Sec 21,10.9,20.2,23.2,0.22,0.99
Dwarka Sec 21,Punjabi Bagh West,23.8,56.4,31.8,0.36,0.05
Punjabi Bagh West,Dwarka Sec 21,23.8,56.4,31.8,0.36,0.05
Noida City Centre,Botanical Garden,13.5,21.3,16.7,0.77,0.3
Botanical Garden,Noida City Centre,13.5,21.3,16.7,0.77,0.3
Noida City Centre,Vaishali,14.1,22.3,35.0,0.73,0.23
Vaishali,Noida City Centre,14.1,22.3,35.0,0.73,0.23
Noida City Centre,Anand Vihar,20.0,30.7,24.6,0.85,0.28
Anand Vihar,Noida City Centre,20.0,30.7,24.6,0.85,0.28
Noida City Centre,Laxmi Nagar,15.3,33.6,30.9,0.53,0.33
Laxmi Nagar,Noida City Centre,15.3,33.6,30.9,0.53,0.33
Noida City Centre,Mayur Vihar,13.1,31.9,25.2,0.25,0.41
Mayur Vihar,Noida City Centre,13.1,31.9,25.2,0.25,0.41
Noida City Centre,Yamuna Bank,9.9,16.3,13.4,0.77,0.24
Yamuna Bank,Noida City Centre,9.9,16.3,13.4,0.77,0.24
Noida City Centre,New Ashok Nagar,14.2,25.4,31.3,0.74,0.59
New Ashok Nagar,Noida City Centre,14.2,25.4,31.3,0.74,0.59
Noida City Centre,Mandi House,7.0,11.9,8.8,0.07,0.26
Mandi House,Noida City Centre,7.0,11.9,8.8,0.07,0.26
Noida City Centre,Pragati Maidan,19.0,41.1,39.6,0.1,0.27
Pragati Maidan,Noida City Centre,19.0,41.1,39.6,0.1,0.27
Noida City Centre,Inderlok,22.8,39.7,29.9,0.08,0.25
Inderlok,Noida City Centre,22.8,39.7,29.9,0.08,0.25
Noida City Centre,Netaji Subhash Place,15.3,34.1,30.6,0.11,0.79
Netaji Subhash Place,Noida City Centre,15.3,34.1,30.6,0.11,0.79
Noida City Centre,Punjabi Bagh West,1.0,2.5,2.1,0.95,0.24
Punjabi Bagh West,Noida City Centre,1.0,2.5,2.1,0.95,0.24
Botanical Garden,Vaishali,9.6,21.9,13.3,0.03,0.22
Vaishali,Botanical Garden,9.6,21.9,13.3,0.03,0.22
Botanical Garden,Anand Vihar,23.9,52.9,59.3,0.78,0.52
Anand Vihar,Botanical Garden,23.9,52.9,59.3,0.78,0.52
Botanical Garden,Laxmi Nagar,12.6,26.5,29.2,0.88,0.9
Laxmi Nagar,Botanical Garden,12.6,26.5,29.2,0.88,0.9
